Jakie dwa zwierzęta tworzą herb Australii?;Wombat i Wallaby;Wąż i pająk;Dragon & dingo;Kangaroo i emu
„Pszczelarstwo” odnosi się do hodowli jakich zwierząt?;Osy;Szerszenie;Psy;Pszczoły
Ktoś z „musofobią” cierpi na strach przed jakim zwierzęciem?;Surykatki;Słonie;Strusie;Myszy
Flaga jakiego kraju jako jedyna na świecie nie jest prostokątem ani kwadratem?;Polska;Argentyna;Japonia;Nepal
Jak nazywa się największa firma technologiczna w Korei Południowej?;Apple;Microsoft;Honda;Samsung
Mistrz Coin Lord Petyr Baelish był również znany pod jakim imieniem?;Littlebaby;Bigbaby;Bigdinger;Littlefinger
Kanadyjczyk Connor McDavid jest wschodzącą gwiazdą w jakim sporcie?;Boks;MMA;Łyżwiarstwo;Hokej
W którym roku Nintendo 64 zostało wydane w Europie?;1989;1999;2003;1997
Natasha Romanova to prawdziwe imię której superbohaterki?;Supergirl;Batgirl;Batcat;Blackwidow
W którym roku Unia Europejska po raz pierwszy wprowadziła euro jako walutę?;1998;2000;2001;1999
