W jakim cyklu powieści występuje mag Rincewind ?;Trylogia Tolkeina;saga o wiedźminie;Ziemiomorze;Świat Dysku
Osoba poświadczająca że jeśli nie spłacimy pożyczki to spłaci za nas nazywana jest ?;przyjacielem;wierzycielem;powodem;żyrantem
Poprawnie napisany jest wyraz:;pojedyńczy;przyśpiesznie;druch;gżegżółka
Kto jest autorem komedii "Zemsta" ?;Miczkiewicz;Leśmian;Białoszewski;Fredro
Która z piosenkarek jest wokalistą zespołu Hey ?;Kasia Klich;Kasia Stankiewicz;Kasia Kowalska;Kasia Nosowska
Świątynia Hagia Sophia została wzniesiona w:;Sofii;Rzymie;Atenach;Konstantynopolu
Ujemne saldo na koncie w bankach to:;kredyt;dług;weksel;debt
"Kraj kangurów" to:;Polska;Chiny;Rosja;Australia
Wokalista zespołu U2 jest:;Sting;Santana;Sade;Bono
Przed wykorzystałem ziarna kawy podaje się podstawi:;fermentowania;marynowania;moczenia;wypalania
