Aby zostać posłem w sejmie, należy ukończyć najpóźniej w dniu wyborów:;18 lat;20 lat;24 lat;21 lat
Stolicą województwa pomorskiego jest:;Gdynia;Pruszcz Gdański;Reda;Gdynia
Urządzenia "do przechowywania" prądu, które można wielokrotnie ładować to:;bateria;kondensator;opornik;akumulator
Ile razy według znanego filmu zawsze dzwoni listonosz ?;ani razu;raz;trzy razy;dwa razy
Wiek pełnoletności w Polsce to:;15 lat;17 lat;21 lat;18 lat
Do jakiego państwa należą Wyspy Owcze ?;do Islandii;do Szkocji;do Norwegii;do Danii
W którym roku ogłoszono w polsce stan wojenny ?;1976;1980;1989;1981
W tytule powieści Dostojewskiego zbrodnia występuje razem z:;zadośćuczynieniem;zemstą;występkiem;karą
W piosence "To było" MAryli ROdowicz nie raz rano zabolał łeb i mówili:;klinem się ratuj;że od myślenia;żem kawał lenia;zmiana klimatu
W niedziele z reguły nie pracują:;kierowcy autobusów;policjanci;księża;kominiarze
