Przywłaszczenie sobie pieniędzy powierzonych przez kogoś to:;hipokryzja;kumulacja;akomodacja;defraudacja
Święty Mikołaj zwykle dostaje się do domu przez:;drzwi;okno;kanazlizację;komin
Pomidor jest:;byliną;cytrusem;owocem;warzywem
Studencki sprawdzian to:;matura;magisetrka;prasóka;kolokwium
Arytmia to schorzenie jakie organu:;tętnic;płuc;jelit;serca
Jak inaczej nazywa się wakuola:;jadro;mitochondrium;sinica;wodniczka
Szczyt Tahat znajduje się w:;Ameryce pn.;Europie;Australii;Afryce
Na jakich lekcjach uczniowie piszą dyktanda ?;na biologii;na historii;na geografii;na polskim
Kto dawał w jednym to co zabrał bogatym ?;Płanetnik;król Krak;szwec Dratewka;Janosik
Jak nazywa się 13-letni zakaz spożywania alkoholu w USA ?;ekshibicja;dystrybucja;inkwizycja;prohibicja
