Jaki kwiat przedstawia wszystkie strony świata ?;lilia wiatrów;żonkil wiatrów;krokus wiatrów;róża wiatrów
Ludzie osiedlają się w jakimś kraju to dla ludności tego kraju ?;emigranci;branici;przesiedleńcy;imigranci
Z jakiego ciasta przyrządza się racuchy ?;francuskiego;kruchego;naleśnikowego;drożdżowego
Dla jakiego państwa galę zdobywał Pedro Pauleta ?;Hiszpani;Meksyku;Brazylii;Portugalii
W pierwszych odcinkach Star Trek bohaterowie podróżowali na statku kosmicznym ?;Voyager;Apollo;Wostok;Enterprise
Jaki młyn kręci się w wesołym miasteczku ?;ognisty;wiejski;anielski;diabelski
Jaki Matołek zawsze chciał dotrzeć do Pacanowa ?;osiołek;dusiołek;kądziołek;koziołek
Ile planet liczy Układ Słoneczny ?;5;7;10;9
Jan Kochanowski zwykły wypoczywać pod jakim drzewem ?;dębem;sosną;brzozą;lipą
Przed Władimirem Putinem prezydentem Rosji był:;Michaił Gorbaczow;Jewgienij Primakow;Szamir Basajew;Borys Jelcyn
