Dzielnica czerwonych latarni to nazwa dzielnicy w której znajdują się:;parkingi;zabytki;drogi rowerowe;domy publiczne
Która straffi polega na wbijaniu w ciało drobnych igiełek ?;akupresura;homeopatia;chemoterapia;akupunktura
Która z firm motoryzacyjnych nie była w składzie koncernu Auto Union ?;Audi;DKW;Wanderer;Ford
Jakie papiery potocznie określają kogoś niespełna rozumu ?;czrne;białe;czerwone;żółte
Jak na drugie imię ma Anna Jopek ?;Marta;Alicja;Joanna;Maria
Przywódcą Atenę nie był:;Solon;Plutarch;Perykles;Sokarates
W których pojazdach rolę w biegów pełnią przerzutki ?;w rydwanach;w furmankach;w samochodach;w rowerach
Radziecki tancerz baletowy który uciekł do USA to:;Czajkowski;Bułyczow;Kasparow;Barysznikow
Ilu braci ma jedynak ?;jednego;dwóch;trzech;żadnego
Napędzamy rower za pomocą ?;wajch;dźwigni;przyciskó;pedałów
