Gdzie swoją główną siedzibę ma Telewizja Polska S.A. ?;Krakowie;Gdańsku;Poznaniu;Warszawie
Składnikiem koktajlu Margarita jest:;sake;szampan;piwo;tequilla
Kopie ważnych dokumentów sporządzamy na:;maszynie do pisania;skanerze;faksie;kserze
Główną rolę w filmie "Miss Agent" zagrała:;Susan Sarandon;Jane Fonda;Cher;Sandra Bullock
Na której z wyspy zmarł Napoleon Bonaparte ?;na Elbie;na Majorce;na Malcie;na wyspie św.Heleny
Znaną przyprawą jest liść:;dębowy;topolowy;baobabu;laurowy
Jakiej figury geometrycznej dotyczyło twierdzenie Pitagorasa ?;sześciokąta;rombu;trapezu;trójkąta
Centrum cyklonu to jego:;nos;udo;ucho;oko
Ilu błogosławieństwa udzielił Jezus podczas kazania na górze ?;dwóch;pięciu;siedmiu;ośmiu
Jan Kochanowski mistrzowsko posługuje się jaką formę literacką ?;poematem;przypowieścią;odą;fraszką
