Oddziały walczące z wrogiem mimo kapitulacji władz państwowych to:;zabójcy;kombatanci;weterani;partyzanci
Znane jest dziesięć plag:;hiszpańskich;seczuańskich;libijskich;egipskich
Która Królowa Polski była adresatka słynnych listów miłosnych Jana III Sobieskiego?;Jadwiga;Anna;Elżbieta;Marysieńka
Który astronom ogłosił pracę udowadniające, że Ziemia krąży wokół słońca?;Galileusz;Kepler;Plank;Kopernik
Który król zarządził rzeź niewiniątek po narodzeniu Chrystusa?;Dawid;Salomon;Karol Wielki;Herod
Jadalna część kalafiora to:;owoc;łodyga;bulwa;kwiat
Jakie mityczne stworzenie żywi się krwią ludzką ?;wilkołak;duch;diabeł;wamipr
Które ze zwierząt ma ciało pokryte kolcami ?;mrówkojad;mrówkolew;orzeł;jeż
Jak nazywa się organizacja walcząca o wyzwolenie kraju Basków ?;IRA;Hamas;OWP;ETA
Który z wymienionych kamieni ma kolor czerwony ?;diament;turkus;agat;rubin
