Które drzewo ma białą korę ?;klon;sosna;jodła;brzoza
Rozdzielanie się rzeki na dwa lub więcej ramion to:;meandryzja;resekwencja;subsekwencja;bifurkacja
Skyrznia przeznaczona do hodowania roślin w czasie zimy by później je prezsadzić to:;rabat;szklarnia;szkółka;inspekt
Bohater piosenki "Komu dzwonią" mówi o sobie: takiemu pijakowi, jakie życie...;taki w niebie tron;taki plon;takie picie;taki zgon
Wodę z nieznanego źródła należy przed wypiciem:;przedestylować;posolić;podgrzać;przegotować
W skład karmelu wchodzi:;olej;sezam;kakao;mleko
Wykonanie muzyczne appasionato jest:;wspólne;żwawe;głośne;namiętne
Na co Kasia Klich Chcę zmienić swojego mężczyznę ?;na cukierki;na pieniądze;na kobietę;na lepszy model
W jakim państwie leżą góry Kantabryjskie:;w Somalii;w Niemczech;we Włoszech;w Hiszpanii
Karaimizm to odłam judaizmu odrzucający co ?;modlitwy;monogamię;Stary Testament;Talmud
